Cryptocurrency Name,Symbol,Current Price (USD),Market Capitalization,24h Trading Volume,Price Change (24h %),Last Updated
Bitcoin,btc,86257,1711201316964,22805688838,1.66802,2025-03-02 07:48:39
Ethereum,eth,2223.62,268160217365,14584518390,-0.2458,2025-03-02 07:48:43
Tether,usdt,0.999473,142339318348,43781742897,-0.00464,2025-03-02 07:48:41
XRP,xrp,2.28,132053282605,2710342194,5.02134,2025-03-02 07:48:36
BNB,bnb,609.92,88978210917,746589401,2.52132,2025-03-02 07:48:37
Solana,sol,143.83,72978816177,2952384683,0.83636,2025-03-02 07:48:37
USDC,usdc,0.9999,56356055374,3619781766,0.00872,2025-03-02 07:48:41
Dogecoin,doge,0.20726,30685129116,992729554,1.38132,2025-03-02 07:48:39
Cardano,ada,0.666495,23965609994,553133746,3.94531,2025-03-02 07:48:36
Lido Staked Ether,steth,2223.53,20960763627,80971840,-0.21495,2025-03-02 07:48:35
TRON,trx,0.233434,20103419207,473390685,-1.08495,2025-03-02 07:48:38
Wrapped Bitcoin,wbtc,85996,11105848196,229194712,1.3883,2025-03-02 07:48:39
Hedera,hbar,0.245936,10321368359,933490412,7.81023,2025-03-02 07:48:41
Stellar,xlm,0.323128,9913182897,365778526,8.94555,2025-03-02 07:48:38
Wrapped stETH,wsteth,2651.59,9445261540,43466638,-0.2915,2025-03-02 07:48:40
Chainlink,link,14.78,9434950341,331823638,1.4362,2025-03-02 07:48:38
Litecoin,ltc,122.28,9243821314,668026502,-3.53036,2025-03-02 07:48:42
Sui,sui,2.87,9088400662,568187798,1.28208,2025-03-02 07:48:36
Avalanche,avax,21.93,9079964680,245263251,0.16589,2025-03-02 07:48:35
LEO Token,leo,9.77,9025728288,1570788,5.62351,2025-03-02 07:48:41
Toncoin,ton,3.29,8224690464,109016979,0.08833,2025-03-02 07:48:38
Shiba Inu,shib,0.00001372,8080969852,137679848,-1.08989,2025-03-02 07:48:35
USDS,usds,0.999901,7809841100,10571622,0.0007,2025-03-02 07:48:38
MANTRA,om,7.52,7325795782,80247041,-0.173,2025-03-02 07:48:41
Polkadot,dot,4.64,7065216990,143148292,0.19033,2025-03-02 07:48:33
Hyperliquid,hype,19.68,6572374950,95735717,-1.6748,2025-03-02 07:48:40
WETH,weth,2222.08,6393211321,447213783,-0.05773,2025-03-02 07:48:43
Bitcoin Cash,bch,317.96,6311318268,153254043,1.76918,2025-03-02 07:48:36
Ethena USDe,usde,0.998623,5459164770,49951392,-0.01043,2025-03-02 07:48:43
Bitget Token,bgb,4.12,4943791449,245394545,2.68911,2025-03-02 07:48:35
Wrapped eETH,weeth,2357.43,4542057212,26530371,-0.13862,2025-03-02 07:48:39
Uniswap,uni,7.47,4484945815,127919510,0.44699,2025-03-02 07:48:38
Monero,xmr,226.41,4175624171,50461042,3.3806,2025-03-02 07:48:42
NEAR Protocol,near,3.27,3878297626,179716018,5.66183,2025-03-02 07:48:42
WhiteBIT Coin,wbt,26.52,3824201670,18926928,-0.0526,2025-03-02 07:48:38
Aptos,apt,6.22,3667940165,181105214,-2.76563,2025-03-02 07:48:34
Dai,dai,0.999788,3285860742,123606732,0.02889,2025-03-02 07:48:39
Pepe,pepe,0.00000771,3245954053,444009589,-1.4575,2025-03-02 07:48:34
Ondo,ondo,1.016,3214599923,108479713,0.84382,2025-03-02 07:48:42
Internet Computer,icp,6.66,3209253967,60579251,3.45987,2025-03-02 07:48:41
sUSDS,susds,1.041,2966853070,1019994,-0.28157,2025-03-02 07:48:38
Aave,aave,194.12,2927384918,196692204,2.28752,2025-03-02 07:48:43
Ethereum Classic,etc,19.21,2900462559,86390325,-1.48524,2025-03-02 07:48:39
Bittensor,tao,339.91,2861890117,102802381,4.41467,2025-03-02 07:48:36
Official Trump,trump,13.95,2795646280,1041757936,4.12117,2025-03-02 07:48:43
OKB,okb,46.04,2762744484,5872911,1.6025,2025-03-02 07:48:42
Gate,gt,21.07,2651652226,16423602,0.80685,2025-03-02 07:48:39
Mantle,mnt,0.740399,2493646287,54134494,0.74947,2025-03-02 07:48:41
Coinbase Wrapped BTC,cbbtc,86246,2460524264,212464758,1.59763,2025-03-02 07:48:42
POL (ex-MATIC),pol,0.2791,2397946962,74262348,3.07318,2025-03-02 07:48:43
